Citation/Document Number,Type,Relation
"EP2216805B1","Patent","Citation Family Member"
"EP2267763B1","Patent","Citation Family Member"
"EP2485251B1","Patent","Citation Family Member"
"ES2462219","Patent","Citation Family Member"
"ES2464166","Patent","Citation Family Member"
"EP1580800B1","Patent","Citation Family Member"
"ES2470325","Patent","Citation Family Member"
"ES2479791","Patent","Citation Family Member"
"EP2199009B1","Patent","Citation Family Member"
"EP2272618B1","Patent","Citation Family Member"
"EP2199008B1","Patent","Citation Family Member"
"EP2216128B1","Patent","Citation Family Member"
"DE60348129","Patent","Citation Family Member"
"DE60345554","Patent","Citation Family Member"
"EP3012061A1","Patent","Citation Family Member"
"DE60348511","Patent","Citation Family Member"
"DE60345960","Patent","Citation Family Member"
"DE60348472","Patent","Citation Family Member"
"DE60345275","Patent","Citation Family Member"
"DE60345276","Patent","Citation Family Member"
"DE60348092","Patent","Citation Family Member"
"DE60345999","Patent","Citation Family Member"
"EP3020503A1","Patent","Citation Family Member"
"DE60343290","Patent","Citation Family Member"
"DE60346299","Patent","Citation Family Member"
"DE60337401","Patent","Citation Family Member"
"EP3012061B1","Patent","Citation Family Member"
"DE60351970","Patent","Citation Family Member"
"EP3020503B1","Patent","Citation Family Member"
"DE60352283","Patent","Citation Family Member"
"DE60335538","Patent","Citation Family Member"
"ES2762406","Patent","Citation Family Member"
"EP3683003A1","Patent","Citation Family Member"
"EP3683003B1","Patent","Citation Family Member"
"DE60346003","Patent","Citation Family Member"
"DE60349595","Patent","Citation Family Member"
"DE60352752","Patent","Citation Family Member"
"ATE493226","Patent","Citation Family Member"
"ATE512751","Patent","Citation Family Member"
"WO03076118A1","Patent","Citation Family Member"
"WO03076119A1","Patent","Citation Family Member"
"WO03076120A1","Patent","Citation Family Member"
"JP2003334812","Patent","Citation Family Member"
"WO04051721A1","Patent","Citation Family Member"
"WO04082006A1","Patent","Citation Family Member"
"JP2005001001","Patent","Citation Family Member"
"JP2005096459","Patent","Citation Family Member"
"JP2005167281","Patent","Citation Family Member"
"JP3670267","Patent","Citation Family Member"
"JP2005197760","Patent","Citation Family Member"
"JP3761566","Patent","Citation Family Member"
"JP2006114937","Patent","Citation Family Member"
"JP2006114938","Patent","Citation Family Member"
"JP2006128723","Patent","Citation Family Member"
"JP2006135354","Patent","Citation Family Member"
"JP2006135355","Patent","Citation Family Member"
"JP2006175520","Patent","Citation Family Member"
"JP2006203256","Patent","Citation Family Member"
"JP2006212708","Patent","Citation Family Member"
"JP2006231413","Patent","Citation Family Member"
"JP3822626","Patent","Citation Family Member"
"TW200304857","Patent","Citation Family Member"
"TW200304858","Patent","Citation Family Member"
"TW200307322","Patent","Citation Family Member"
"TW200416954","Patent","Citation Family Member"
"TW200417439","Patent","Citation Family Member"
"JP3867100","Patent","Citation Family Member"
"JP3867104","Patent","Citation Family Member"
"JP3867105","Patent","Citation Family Member"
"JP3869850","Patent","Citation Family Member"
"JP2007083309","Patent","Citation Family Member"
"JP2007136554","Patent","Citation Family Member"
"JP3935186","Patent","Citation Family Member"
"JP3935189","Patent","Citation Family Member"
"JP3990710","Patent","Citation Family Member"
"JP3990711","Patent","Citation Family Member"
"KR20070114398","Patent","Citation Family Member"
"TWI270431","Patent","Citation Family Member"
"TWI289890","Patent","Citation Family Member"
"TWI296218","Patent","Citation Family Member"
"US2010015783","Patent","Citation Family Member"
"JP2009296008","Patent","Citation Family Member"
"JP4463796","Patent","Citation Family Member"
"TH65465","Patent","Citation Family Member"
"JP4509720","Patent","Citation Family Member"
"JP4509719","Patent","Citation Family Member"
"JP4515096","Patent","Citation Family Member"
"JP4509573","Patent","Citation Family Member"
"JP4527098","Patent","Citation Family Member"
"JP4606741","Patent","Citation Family Member"
"TWI326626","Patent","Citation Family Member"
"TWI339876","Patent","Citation Family Member"
"JP2011142329","Patent","Citation Family Member"
"JP2011206851","Patent","Citation Family Member"
"JP2006121113","Patent","Citation Family Member"
"US2011306182","Patent","Citation Family Member"
"JP4846880","Patent","Citation Family Member"
"JP4886015","Patent","Citation Family Member"
"US8183131","Patent","Citation Family Member"
"JP4970628","Patent","Citation Family Member"
"JP2012138598","Patent","Citation Family Member"
"US2012205358","Patent","Citation Family Member"
"JP2012206172","Patent","Citation Family Member"
"US2012329248","Patent","Citation Family Member"
"JP2013016867","Patent","Citation Family Member"
"US8409968","Patent","Citation Family Member"
"MY147331","Patent","Citation Family Member"
"US8450187","Patent","Citation Family Member"
"US2013252402","Patent","Citation Family Member"
"US2013252403","Patent","Citation Family Member"
"US8551865","Patent","Citation Family Member"
"US8598015","Patent","Citation Family Member"
"US2013344686","Patent","Citation Family Member"
"KR100749972","Patent","Citation Family Member"
"US8263479","Patent","Citation Family Member"
"KR20040093139","Patent","Citation Family Member"
"KR100832941","Patent","Citation Family Member"
"KR20040099323","Patent","Citation Family Member"
"US8673745","Patent","Citation Family Member"
"US2014080288","Patent","Citation Family Member"
"MY148590","Patent","Citation Family Member"
"JP2014068031","Patent","Citation Family Member"
"JP5545777","Patent","Citation Family Member"
"US7749867","Patent","Citation Family Member"
"US8361883","Patent","Citation Family Member"
"US8802543","Patent","Citation Family Member"
"JP5557766","Patent","Citation Family Member"
"US8865566","Patent","Citation Family Member"
"US8969752","Patent","Citation Family Member"
"JP5689449","Patent","Citation Family Member"
"JP5778239","Patent","Citation Family Member"
"TH52676","Patent","Citation Family Member"
"JP2003076118","Patent","Citation Family Member"
"JP2003076119","Patent","Citation Family Member"
"JP2003076120","Patent","Citation Family Member"
"MY160196","Patent","Citation Family Member"
"MY172630","Patent","Citation Family Member"
"MY173375","Patent","Citation Family Member"
"MY185431","Patent","Citation Family Member"
"KR20050106100","Patent","Citation Family Member"
"KR100853057","Patent","Citation Family Member"
"MY185427","Patent","Citation Family Member"
"MY184996","Patent","Citation Family Member"
"JP4146863","Patent","Citation Family Member"
"KR20050084878","Patent","Citation Family Member"
"KR100855136","Patent","Citation Family Member"
"KR100866171","Patent","Citation Family Member"
"TW201324686","Patent","Citation Family Member"
"TW200914185","Patent","Citation Family Member"
"TW200924113","Patent","Citation Family Member"
"TWI520269","Patent","Citation Family Member"
"TWI395293","Patent","Citation Family Member"
"TWI337560","Patent","Citation Family Member"
"US7825350","Patent","Citation Family Member"
"US2012228276","Patent","Citation Family Member"
"US8946589","Patent","Citation Family Member"
"US8946591","Patent","Citation Family Member"
"WO03077295A1","Patent","Citation Family Member"
"EP1494271A1","Patent","Citation Family Member"
"AU2003211763","Patent","Citation Family Member"
"JP2005184032","Patent","Citation Family Member"
"CN1643656","Patent","Citation Family Member"
"EP1632997A2","Patent","Citation Family Member"
"EP1635390A2","Patent","Citation Family Member"
"CN1728342","Patent","Citation Family Member"
"EP1632997A3","Patent","Citation Family Member"
"EP1635390A3","Patent","Citation Family Member"
"EP1494271A4","Patent","Citation Family Member"
"TW200306622","Patent","Citation Family Member"
"JP3762409","Patent","Citation Family Member"
"EP1632997B1","Patent","Citation Family Member"
"CN1983556","Patent","Citation Family Member"
"AT362653","Patent","Citation Family Member"
"ES2285634","Patent","Citation Family Member"
"DE60313900","Patent","Citation Family Member"
"CN100355032","Patent","Citation Family Member"
"CN100355031","Patent","Citation Family Member"
"CN101335235","Patent","Citation Family Member"
"CN100485901","Patent","Citation Family Member"
"CN100485902","Patent","Citation Family Member"
"US7566635","Patent","Citation Family Member"
"TWI278027","Patent","Citation Family Member"
"JP2009206534","Patent","Citation Family Member"
"JP4358762","Patent","Citation Family Member"
"JP2010068009","Patent","Citation Family Member"
"EP2194575A2","Patent","Citation Family Member"
"EP1635390B1","Patent","Citation Family Member"
"AT518242","Patent","Citation Family Member"
"JP2011216912","Patent","Citation Family Member"
"JP2011216913","Patent","Citation Family Member"
"EP1494271B1","Patent","Citation Family Member"
"EP2400539A2","Patent","Citation Family Member"
"AT534142","Patent","Citation Family Member"
"ES2377521","Patent","Citation Family Member"
"JP2011243998","Patent","Citation Family Member"
"JP4908552","Patent","Citation Family Member"
"JP4908652","Patent","Citation Family Member"
"JP4932955","Patent","Citation Family Member"
"JP4932956","Patent","Citation Family Member"
"JP4995256","Patent","Citation Family Member"
"US8304325","Patent","Citation Family Member"
"US8314013","Patent","Citation Family Member"
"EP2194575A3","Patent","Citation Family Member"
"EP2400539A3","Patent","Citation Family Member"
"US8518801","Patent","Citation Family Member"
"US8518800","Patent","Citation Family Member"
"US8519511","Patent","Citation Family Member"
"US2013316517","Patent","Citation Family Member"
"US8268704","Patent","Citation Family Member"
"KR100715576","Patent","Citation Family Member"
"KR20040108660","Patent","Citation Family Member"
"US8889525","Patent","Citation Family Member"
"US2015056785","Patent","Citation Family Member"
"US9142458","Patent","Citation Family Member"
"US2015311119","Patent","Citation Family Member"
"US9252056","Patent","Citation Family Member"
"US9287177","Patent","Citation Family Member"
"US2016111333","Patent","Citation Family Member"
"DE60337873","Patent","Citation Family Member"
"DE60339137","Patent","Citation Family Member"
"US2016343617","Patent","Citation Family Member"
"US2016343618","Patent","Citation Family Member"
"US2016343619","Patent","Citation Family Member"
"US2016343674","Patent","Citation Family Member"
"US9543207","Patent","Citation Family Member"
"US9543256","Patent","Citation Family Member"
"US9548246","Patent","Citation Family Member"
"US9553023","Patent","Citation Family Member"
"JP2003077295","Patent","Citation Family Member"
"US9711405","Patent","Citation Family Member"
"EP2400539B1","Patent","Citation Family Member"
"EP2194575B1","Patent","Citation Family Member"
"US2017271210","Patent","Citation Family Member"
"ES2639733","Patent","Citation Family Member"
"EP3252806A1","Patent","Citation Family Member"
"DE60350449","Patent","Citation Family Member"
"US10068801","Patent","Citation Family Member"
"US2018350682","Patent","Citation Family Member"
"EP3252806B1","Patent","Citation Family Member"
"DE60352263","Patent","Citation Family Member"
"US10622255","Patent","Citation Family Member"
"EP3664131A2","Patent","Citation Family Member"
"US2020203225","Patent","Citation Family Member"
"EP3664131A3","Patent","Citation Family Member"
"DE60350530","Patent","Citation Family Member"
"US2021210387","Patent","Citation Family Member"
"US11424162","Patent","Citation Family Member"
"US2022352026","Patent","Citation Family Member"
"ATE362653","Patent","Citation Family Member"
"ATE518242","Patent","Citation Family Member"
"ATE534142","Patent","Citation Family Member"
"KR20050075041","Patent","Citation Family Member"
"KR100848408","Patent","Citation Family Member"
"US7732730","Patent","Citation Family Member"
"US2010176100","Patent","Citation Family Member"
"US8227724","Patent","Citation Family Member"
"US2012279947","Patent","Citation Family Member"
"US2010055876","Patent","Citation Family Member"
"US7592238","Patent","Citation Family Member"
"US8283595","Patent","Citation Family Member"
"US2013017670","Patent","Citation Family Member"
"US8716110","Patent","Citation Family Member"
"US7626137","Patent","Citation Family Member"
"US7547613","Patent","Citation Family Member"
"US7615721","Patent","Citation Family Member"
"WO05098916A1","Patent","Citation Family Member"
"EP1742253A1","Patent","Citation Family Member"
"TW200602145","Patent","Citation Family Member"
"EP1742253A4","Patent","Citation Family Member"
"CN100527360","Patent","Citation Family Member"
"TH73736","Patent","Citation Family Member"
"TWI346593","Patent","Citation Family Member"
"EP1742253B1","Patent","Citation Family Member"
"AT556807","Patent","Citation Family Member"
"KR20120107537","Patent","Citation Family Member"
"JP5138219","Patent","Citation Family Member"
"KR101336523","Patent","Citation Family Member"
"MY149660","Patent","Citation Family Member"
"US8946055","Patent","Citation Family Member"
"DE602005034116","Patent","Citation Family Member"
"JP2005098916","Patent","Citation Family Member"
"TH62030","Patent","Citation Family Member"
"ATE556807","Patent","Citation Family Member"
"KR20070005713","Patent","Citation Family Member"
"KR101212875","Patent","Citation Family Member"
"JP4909657","Patent","Citation Family Member"
"US7396742","Patent","Citation Family Member"
"US2012190175","Patent","Citation Family Member"
"US8927900","Patent","Citation Family Member"
"US8937264","Patent","Citation Family Member"
"US8933369","Patent","Citation Family Member"
"JP4684717","Patent","Citation Family Member"
"JP4762458","Patent","Citation Family Member"
"JP3722731","Patent","Citation Family Member"
