Citation/Document Number,Type,Relation
"CA2589363","Patent","Citation Family Member"
"AU2005316739","Patent","Citation Family Member"
"US7576094","Patent","Citation Family Member"
"JP2008523145","Patent","Citation Family Member"
"TW200804244","Patent","Citation Family Member"
"KR20080056220","Patent","Citation Family Member"
"CN101291905","Patent","Citation Family Member"
"IL190442","Patent","Citation Family Member"
"CL2006002777","Patent","Citation Family Member"
"WO07045573","Patent","Citation Family Member"
"WO2007045573","Patent","Citation Family Member"
"EP1940781","Patent","Citation Family Member"
"BRPI0617720","Patent","Citation Family Member"
"CA2625047","Patent","Citation Family Member"
"AR058094","Patent","Citation Family Member"
"AU2006303368","Patent","Citation Family Member"
"MX275234","Patent","Citation Family Member"
"US7388111","Patent","Citation Family Member"
"JP2009515826","Patent","Citation Family Member"
"TW200730474","Patent","Citation Family Member"
"PE11762007","Patent","Citation Family Member"
"CL2006003711","Patent","Citation Family Member"
"PE20071176","Patent","Citation Family Member"
"WO07079078","Patent","Citation Family Member"
"WO2007079078","Patent","Citation Family Member"
"UY30070","Patent","Citation Family Member"
"EP1976828","Patent","Citation Family Member"
"EP3205644","Patent","Citation Family Member"
"HK1242693","Patent","Citation Family Member"
"AR058404","Patent","Citation Family Member"
"US2010210630","Patent","Citation Family Member"
"US2013123243","Patent","Citation Family Member"
"US2015080382","Patent","Citation Family Member"
"US2016272649","Patent","Citation Family Member"
"US2018230159","Patent","Citation Family Member"
"US2020308181","Patent","Citation Family Member"
"US2023250104","Patent","Citation Family Member"
"US2025296935","Patent","Citation Family Member"
"US7737145","Patent","Citation Family Member"
"US8569303","Patent","Citation Family Member"
"US9315509","Patent","Citation Family Member"
"US11267819","Patent","Citation Family Member"
"US12173009","Patent","Citation Family Member"
"DE602006051324","Patent","Citation Family Member"
"LT1976828","Patent","Citation Family Member"
"PT1976828","Patent","Citation Family Member"
"SI1976828","Patent","Citation Family Member"
"CY1118837","Patent","Citation Family Member"
"HU031972","Patent","Citation Family Member"
"DK1976828","Patent","Citation Family Member"
"ES2614090","Patent","Citation Family Member"
"PL1976828","Patent","Citation Family Member"
"TR201702664","Patent","Citation Family Member"
"DOP2007000099","Patent","Citation Family Member"
"TW200812992","Patent","Citation Family Member"
"PE00692008","Patent","Citation Family Member"
"CL2007001374","Patent","Citation Family Member"
"PE20080069","Patent","Citation Family Member"
"WO07136573","Patent","Citation Family Member"
"WO2007136573","Patent","Citation Family Member"
"WO07136572","Patent","Citation Family Member"
"WO2007136572","Patent","Citation Family Member"
"EP2021327","Patent","Citation Family Member"
"CA2651153","Patent","Citation Family Member"
"AR060916","Patent","Citation Family Member"
"AU2007254325","Patent","Citation Family Member"
"JP5271895","Patent","Citation Family Member"
"US7442808","Patent","Citation Family Member"
"DE602007021767","Patent","Citation Family Member"
"AT552245","Patent","Citation Family Member"
"JP2009537524","Patent","Citation Family Member"
"TW201605775","Patent","Citation Family Member"
"CN105530923","Patent","Citation Family Member"
"KR20160055199","Patent","Citation Family Member"
"TW201936572","Patent","Citation Family Member"
"CN110372550","Patent","Citation Family Member"
"NZ716281","Patent","Citation Family Member"
"MY199426","Patent","Citation Family Member"
"IL243888","Patent","Citation Family Member"
"PE20160434","Patent","Citation Family Member"
"UY35731","Patent","Citation Family Member"
"EP3043784","Patent","Citation Family Member"
"MX2016002974","Patent","Citation Family Member"
"EA201690549","Patent","Citation Family Member"
"PE04342016","Patent","Citation Family Member"
"SG11201601616S","Patent","Citation Family Member"
"HK1221667","Patent","Citation Family Member"
"EP3417852","Patent","Citation Family Member"
"EP3417851","Patent","Citation Family Member"
