Citation/Document Number,Type,Relation
"HK40097680","Patent","Citation Family Member"
"US11950726","Patent","Citation Family Member"
"HK40102432","Patent","Citation Family Member"
"US12035843","Patent","Citation Family Member"
"WO24155674A1","Patent","Citation Family Member"
"US12185870","Patent","Citation Family Member"
"US2025057358","Patent","Citation Family Member"
"US2025194851","Patent","Citation Family Member"
"KR20250135871","Patent","Citation Family Member"
"CN120916675","Patent","Citation Family Member"
"EP4651779A1","Patent","Citation Family Member"
"JP2017225830","Patent","Citation Family Member"
"JP2019063557","Patent","Citation Family Member"
"JP7187650","Patent","Citation Family Member"
"JP7038646","Patent","Citation Family Member"
"JP2026504915","Patent","Citation Family Member"
"JP2023025133","Patent","Citation Family Member"
"JP2022028763","Patent","Citation Family Member"
"CN121754055","Patent","Citation Family Member"
"JP2024164306","Patent","Citation Family Member"
"CA3279873","Patent","Citation Family Member"
"DE3206493","Patent","Citation Family Member"
"AU545215","Patent","Citation Family Member"
"CA1171894","Patent","Citation Family Member"
"FR2500290","Patent","Citation Family Member"
"GB2093553","Patent","Citation Family Member"
"JP57209019","Patent","Citation Family Member"
"ZA8201051","Patent","Citation Family Member"
"AU198280785","Patent","Citation Family Member"
"GB2134804","Patent","Citation Family Member"
"CA1201430","Patent","Citation Family Member"
"GB8315578","Patent","Citation Family Member"
"EP0024992A1","Patent","Citation Family Member"
"FR2478456","Patent","Citation Family Member"
"CA1164319","Patent","Citation Family Member"
"FR2464047","Patent","Citation Family Member"
"FR2474298","Patent","Citation Family Member"
"JP56036926","Patent","Citation Family Member"
"JP58010093","Patent","Citation Family Member"
"EP0024992B1","Patent","Citation Family Member"
"FR2488038","Patent","Citation Family Member"
"JP1175997","Patent","Citation Family Member"
"ES494562","Patent","Citation Family Member"
"ES8103958","Patent","Citation Family Member"
"DE3068351","Patent","Citation Family Member"
"DE20213304","Patent","Citation Family Member"
"GB200312079","Patent","Citation Family Member"
"US2004239294","Patent","Citation Family Member"
"EP1482619A2","Patent","Citation Family Member"
"GB2402271","Patent","Citation Family Member"
"CA2468388","Patent","Citation Family Member"
"BRPI0402983","Patent","Citation Family Member"
"JP2004357497","Patent","Citation Family Member"
"CN1574539","Patent","Citation Family Member"
"EP1482619A3","Patent","Citation Family Member"
"SG116561","Patent","Citation Family Member"
"KR20040102341","Patent","Citation Family Member"
"TW200511813","Patent","Citation Family Member"
"JP3908753","Patent","Citation Family Member"
"CN100369349","Patent","Citation Family Member"
"JP4144891","Patent","Citation Family Member"
"US2009200989","Patent","Citation Family Member"
"TWI256237","Patent","Citation Family Member"
"KR100811025","Patent","Citation Family Member"
"JP2007020398","Patent","Citation Family Member"
"US7768239","Patent","Citation Family Member"
"US2010289456","Patent","Citation Family Member"
"US7893660","Patent","Citation Family Member"
"IN247269","Patent","Citation Family Member"
"US2011140674","Patent","Citation Family Member"
"EP1482619B1","Patent","Citation Family Member"
"HK1073508","Patent","Citation Family Member"
"HK1071234","Patent","Citation Family Member"
"US8283897","Patent","Citation Family Member"
"US2013033226","Patent","Citation Family Member"
"US8610407","Patent","Citation Family Member"
"DE602004037870","Patent","Citation Family Member"
"USRE42385","Patent","Citation Family Member"
"GB200318584","Patent","Citation Family Member"
"WO05013787A1","Patent","Citation Family Member"
"AU2004262988","Patent","Citation Family Member"
"EP1656060A1","Patent","Citation Family Member"
"CN1832698","Patent","Citation Family Member"
"RU2006102560","Patent","Citation Family Member"
"JP2007501645","Patent","Citation Family Member"
"US2006209627","Patent","Citation Family Member"
"BRPI0413307","Patent","Citation Family Member"
"EP1929909A1","Patent","Citation Family Member"
"EP1656060B1","Patent","Citation Family Member"
"AT410107","Patent","Citation Family Member"
"DE602004017019","Patent","Citation Family Member"
"ES2315696","Patent","Citation Family Member"
"IN233862","Patent","Citation Family Member"
"EP1929909B1","Patent","Citation Family Member"
"AT518465","Patent","Citation Family Member"
"US2011205834","Patent","Citation Family Member"
"JP2011167558","Patent","Citation Family Member"
"ES2371042","Patent","Citation Family Member"
"JP4866729","Patent","Citation Family Member"
"US8142068","Patent","Citation Family Member"
"JP5352625","Patent","Citation Family Member"
"MXPA06001451","Patent","Citation Family Member"
"DE602004033811","Patent","Citation Family Member"
"CA2535069","Patent","Citation Family Member"
"KR20060057597","Patent","Citation Family Member"
"DE19615014","Patent","Citation Family Member"
"EP0814694A1","Patent","Citation Family Member"
"WO9725911A1","Patent","Citation Family Member"
"DE29600833","Patent","Citation Family Member"
"CA2151999","Patent","Citation Family Member"
"DE4343212","Patent","Citation Family Member"
"EP0726725A1","Patent","Citation Family Member"
"WO9516380A1","Patent","Citation Family Member"
"EP0726725B1","Patent","Citation Family Member"
"AT165226","Patent","Citation Family Member"
"DE59405809","Patent","Citation Family Member"
"DE9422100","Patent","Citation Family Member"
"US2004155063","Patent","Citation Family Member"
"US6817750","Patent","Citation Family Member"
"EP1510161A2","Patent","Citation Family Member"
"US2005047272","Patent","Citation Family Member"
"US2005068847","Patent","Citation Family Member"
"EP1510161A3","Patent","Citation Family Member"
"JP2005066351","Patent","Citation Family Member"
"CN1589720","Patent","Citation Family Member"
"EP1586259A1","Patent","Citation Family Member"
"CN1682629","Patent","Citation Family Member"
"US2006120215","Patent","Citation Family Member"
"US7066640","Patent","Citation Family Member"
"US2006153003","Patent","Citation Family Member"
"US2006176770","Patent","Citation Family Member"
"CN1282438","Patent","Citation Family Member"
"KR20050022255","Patent","Citation Family Member"
"KR20050100328","Patent","Citation Family Member"
"TW200507788","Patent","Citation Family Member"
"USD536216","Patent","Citation Family Member"
"EP1586259B1","Patent","Citation Family Member"
"AT366076","Patent","Citation Family Member"
"US2007183256","Patent","Citation Family Member"
"EP1510161B1","Patent","Citation Family Member"
"DE602004007354","Patent","Citation Family Member"
"WO07103240A2","Patent","Citation Family Member"
"DE602004008172","Patent","Citation Family Member"
"AT369780","Patent","Citation Family Member"
"TW200533310","Patent","Citation Family Member"
"DK1586259","Patent","Citation Family Member"
"WO07126409A2","Patent","Citation Family Member"
"HR20070384","Patent","Citation Family Member"
"JP3997220","Patent","Citation Family Member"
"SI1586259","Patent","Citation Family Member"
"ES2290630","Patent","Citation Family Member"
"CN201019597","Patent","Citation Family Member"
"WO07126409A3","Patent","Citation Family Member"
"WO07103240A3","Patent","Citation Family Member"
"US2008196602","Patent","Citation Family Member"
"US7430957","Patent","Citation Family Member"
"US7441944","Patent","Citation Family Member"
"CN100418461","Patent","Citation Family Member"
"PT1586259","Patent","Citation Family Member"
"TWI241903","Patent","Citation Family Member"
"TWI265014","Patent","Citation Family Member"
"KR100618080","Patent","Citation Family Member"
"US7958819","Patent","Citation Family Member"
"US2011240782","Patent","Citation Family Member"
"US8122821","Patent","Citation Family Member"
"US2012152131","Patent","Citation Family Member"
"HK1078449","Patent","Citation Family Member"
"MY129143","Patent","Citation Family Member"
"CY1107744","Patent","Citation Family Member"
"JP1290592","Patent","Citation Family Member"
"PL1586259","Patent","Citation Family Member"
"US2006126431","Patent","Citation Family Member"
"CN1792306","Patent","Citation Family Member"
"CN2902146","Patent","Citation Family Member"
"US2007165485","Patent","Citation Family Member"
"EP2229853A1","Patent","Citation Family Member"
"WO10106372A1","Patent","Citation Family Member"
"EP2408341A1","Patent","Citation Family Member"
"EP2408341B1","Patent","Citation Family Member"
"US8726790","Patent","Citation Family Member"
"DE602010007601","Patent","Citation Family Member"
"CH702957","Patent","Citation Family Member"
"CA2792183","Patent","Citation Family Member"
"CN102821662","Patent","Citation Family Member"
"EP2555658A1","Patent","Citation Family Member"
"JP2013524875","Patent","Citation Family Member"
"NZ602104","Patent","Citation Family Member"
"EP2555658B1","Patent","Citation Family Member"
"DK2555658","Patent","Citation Family Member"
"AU2010281286","Patent","Citation Family Member"
"DE502010005902","Patent","Citation Family Member"
"WO11014972A1","Patent","Citation Family Member"
"RU2012144570","Patent","Citation Family Member"
"US9107541","Patent","Citation Family Member"
"GB201218427","Patent","Citation Family Member"
"US2015098298","Patent","Citation Family Member"
"US2015098299","Patent","Citation Family Member"
"WO15054153A2","Patent","Citation Family Member"
"WO15054153A3","Patent","Citation Family Member"
"CN105592763","Patent","Citation Family Member"
"EP3021720A2","Patent","Citation Family Member"
"KR20160065075","Patent","Citation Family Member"
"IN201637012165","Patent","Citation Family Member"
"EA201690558","Patent","Citation Family Member"
"EP3021720A4","Patent","Citation Family Member"
"CL2016000778","Patent","Citation Family Member"
