Citation/Document Number,Type,Relation
"CA2608952","Patent","Citation Family Member"
"JP2008540629","Patent","Citation Family Member"
"CN104379169","Patent","Citation Family Member"
"CN105073128","Patent","Citation Family Member"
"CN106132436","Patent","Citation Family Member"
"IN201617024470","Patent","Citation Family Member"
"CN107252485","Patent","Citation Family Member"
"CN109513003","Patent","Citation Family Member"
"WO15126548","Patent","Citation Family Member"
"WO2015126548","Patent","Citation Family Member"
"EP2981281","Patent","Citation Family Member"
"EP3107577","Patent","Citation Family Member"
"MX2016010683","Patent","Citation Family Member"
"WO17210058","Patent","Citation Family Member"
"WO2017210058","Patent","Citation Family Member"
"WO18217227","Patent","Citation Family Member"
"WO2018217227","Patent","Citation Family Member"
"EP3586874","Patent","Citation Family Member"
"WO14028560","Patent","Citation Family Member"
"WO2014028560","Patent","Citation Family Member"
"EP2885002","Patent","Citation Family Member"
"JP2018135371","Patent","Citation Family Member"
"JP2019048869","Patent","Citation Family Member"
"JP2019108373","Patent","Citation Family Member"
"US2014050660","Patent","Citation Family Member"
"AU2013302696","Patent","Citation Family Member"
"CA2874864","Patent","Citation Family Member"
"US2015132217","Patent","Citation Family Member"
"US2015231241","Patent","Citation Family Member"
"CA2899577","Patent","Citation Family Member"
"US2016176968","Patent","Citation Family Member"
"US2016176980","Patent","Citation Family Member"
"AU2015219495","Patent","Citation Family Member"
"CA2937236","Patent","Citation Family Member"
"US2016264678","Patent","Citation Family Member"
"US2017021017","Patent","Citation Family Member"
"US2017022274","Patent","Citation Family Member"
"US2017226219","Patent","Citation Family Member"
"US2017247417","Patent","Citation Family Member"
"US2017275375","Patent","Citation Family Member"
"US2017281767","Patent","Citation Family Member"
"US2018051085","Patent","Citation Family Member"
"US2018118846","Patent","Citation Family Member"
"AU2018236844","Patent","Citation Family Member"
"US2019142939","Patent","Citation Family Member"
"IN369491","Patent","Citation Family Member"
"MX384646","Patent","Citation Family Member"
"IN448767","Patent","Citation Family Member"
"JP6361039","Patent","Citation Family Member"
"JP6447933","Patent","Citation Family Member"
"JP6759508","Patent","Citation Family Member"
"JP6767029","Patent","Citation Family Member"
"US9315567","Patent","Citation Family Member"
"US9382329","Patent","Citation Family Member"
"US9670286","Patent","Citation Family Member"
"US9682143","Patent","Citation Family Member"
"US9879088","Patent","Citation Family Member"
"US10111954","Patent","Citation Family Member"
"US10131712","Patent","Citation Family Member"
"US10183992","Patent","Citation Family Member"
"US10239938","Patent","Citation Family Member"
"US10245321","Patent","Citation Family Member"
"US10308688","Patent","Citation Family Member"
"US10662252","Patent","Citation Family Member"
"US10669338","Patent","Citation Family Member"
"EP3107577C0","Patent","Citation Family Member"
"DE602013070805","Patent","Citation Family Member"
"JP2016520548","Patent","Citation Family Member"
"JP2017507936","Patent","Citation Family Member"
"ES2978993","Patent","Citation Family Member"
"TW201328725","Patent","Citation Family Member"
"CN103826618","Patent","Citation Family Member"
"KR20140069297","Patent","Citation Family Member"
"TW201531309","Patent","Citation Family Member"
"RU2014107767","Patent","Citation Family Member"
"IL231437","Patent","Citation Family Member"
"SG11201400145V","Patent","Citation Family Member"
"HK1196063","Patent","Citation Family Member"
"WO13046133","Patent","Citation Family Member"
"WO2013046133","Patent","Citation Family Member"
"EP2760434","Patent","Citation Family Member"
"MX2014003886","Patent","Citation Family Member"
"JP2013079234","Patent","Citation Family Member"
"BR112014007163","Patent","Citation Family Member"
"AU2012313885","Patent","Citation Family Member"
"CA2847860","Patent","Citation Family Member"
"AR088195","Patent","Citation Family Member"
"BRPI0316880","Patent","Citation Family Member"
"NO20053389","Patent","Citation Family Member"
"CN1753912","Patent","Citation Family Member"
"CN101899114","Patent","Citation Family Member"
"IL169152","Patent","Citation Family Member"
"EP1576014","Patent","Citation Family Member"
"MXPA05006828","Patent","Citation Family Member"
"HK1083510","Patent","Citation Family Member"
"JP2010189395","Patent","Citation Family Member"
"CA2508660","Patent","Citation Family Member"
"US2004213795","Patent","Citation Family Member"
"AU2003288675","Patent","Citation Family Member"
"US2006210567","Patent","Citation Family Member"
"US2008311117","Patent","Citation Family Member"
"US2010028330","Patent","Citation Family Member"
"AU2010235966","Patent","Citation Family Member"
"MX266969","Patent","Citation Family Member"
"IN239794","Patent","Citation Family Member"
"NO336442","Patent","Citation Family Member"
"JP4511943","Patent","Citation Family Member"
"US8088905","Patent","Citation Family Member"
"DE60337572","Patent","Citation Family Member"
"AT514713","Patent","Citation Family Member"
"JP2006521783","Patent","Citation Family Member"
"ES2367430","Patent","Citation Family Member"
"CN103857699","Patent","Citation Family Member"
"NZ618334","Patent","Citation Family Member"
"CN106432506","Patent","Citation Family Member"
"NZ719602","Patent","Citation Family Member"
"HK1234424","Patent","Citation Family Member"
"WO12162561","Patent","Citation Family Member"
"WO2012162561","Patent","Citation Family Member"
"EP2714738","Patent","Citation Family Member"
"AU2012258637","Patent","Citation Family Member"
"CA2837169","Patent","Citation Family Member"
"US2014065142","Patent","Citation Family Member"
"US2015210765","Patent","Citation Family Member"
"AU2017204032","Patent","Citation Family Member"
"US10526381","Patent","Citation Family Member"
"DE602012052017","Patent","Citation Family Member"
"DK2714738","Patent","Citation Family Member"
"ES2704038","Patent","Citation Family Member"
"TW201332548","Patent","Citation Family Member"
"CN103917234","Patent","Citation Family Member"
"KR20140088556","Patent","Citation Family Member"
"RU2014116407","Patent","Citation Family Member"
"ZA201403306","Patent","Citation Family Member"
"IL232427","Patent","Citation Family Member"
"SG11201401656P","Patent","Citation Family Member"
"HK1196537","Patent","Citation Family Member"
"WO13068909","Patent","Citation Family Member"
"WO2013068909","Patent","Citation Family Member"
"MX2014005715","Patent","Citation Family Member"
"EP2776031","Patent","Citation Family Member"
"BR112014011453","Patent","Citation Family Member"
"AU2012335254","Patent","Citation Family Member"
"CA2855211","Patent","Citation Family Member"
"US9205078","Patent","Citation Family Member"
"JP2014533262","Patent","Citation Family Member"
"PH2017500853","Patent","Citation Family Member"
"KR20170086124","Patent","Citation Family Member"
"CN107207578","Patent","Citation Family Member"
"IN201717019506","Patent","Citation Family Member"
"ID201803404","Patent","Citation Family Member"
"TH176997","Patent","Citation Family Member"
"ZA201703192","Patent","Citation Family Member"
"GB201421647","Patent","Citation Family Member"
"IL252626","Patent","Citation Family Member"
"WO16087680","Patent","Citation Family Member"
"WO2016087680","Patent","Citation Family Member"
"SG11201703825U","Patent","Citation Family Member"
"EP3227322","Patent","Citation Family Member"
"EA201791249","Patent","Citation Family Member"
"CL2017001310","Patent","Citation Family Member"
"MX2017007338","Patent","Citation Family Member"
"CO20170005566","Patent","Citation Family Member"
"BR112017011543","Patent","Citation Family Member"
"JP2020183441","Patent","Citation Family Member"
"AU2015356997","Patent","Citation Family Member"
"CA2968333","Patent","Citation Family Member"
"US2020283503","Patent","Citation Family Member"
"CL59680","Patent","Citation Family Member"
"MX391474","Patent","Citation Family Member"
"IN399350","Patent","Citation Family Member"
"VN10031869","Patent","Citation Family Member"
"EA035767","Patent","Citation Family Member"
"JP6952843","Patent","Citation Family Member"
"US10703796","Patent","Citation Family Member"
"DE602015088269","Patent","Citation Family Member"
"JP2018506508","Patent","Citation Family Member"
"KR20160089524","Patent","Citation Family Member"
"KR20160089531","Patent","Citation Family Member"
"KR20160089532","Patent","Citation Family Member"
"CN105828837","Patent","Citation Family Member"
"KR20160099092","Patent","Citation Family Member"
"CN105899535","Patent","Citation Family Member"
"CN105934253","Patent","Citation Family Member"
"CN106102774","Patent","Citation Family Member"
"CN106999583","Patent","Citation Family Member"
"KR20170096112","Patent","Citation Family Member"
"RU2016128711","Patent","Citation Family Member"
"RU2016126662","Patent","Citation Family Member"
"RU2016128894","Patent","Citation Family Member"
"RU2016128726","Patent","Citation Family Member"
"RU2017121096","Patent","Citation Family Member"
"CN112353943","Patent","Citation Family Member"
"KR20220136459","Patent","Citation Family Member"
"NZ720515","Patent","Citation Family Member"
"NZ760065","Patent","Citation Family Member"
"MY189089","Patent","Citation Family Member"
"ZA201603753","Patent","Citation Family Member"
"KR20240017102","Patent","Citation Family Member"
"KR20250024856","Patent","Citation Family Member"
"IL246251","Patent","Citation Family Member"
"IL246183","Patent","Citation Family Member"
"IL252251","Patent","Citation Family Member"
"IL246228","Patent","Citation Family Member"
"IL245857","Patent","Citation Family Member"
"WO15095410","Patent","Citation Family Member"
"WO2015095410","Patent","Citation Family Member"
"WO15095418","Patent","Citation Family Member"
"WO2015095418","Patent","Citation Family Member"
"WO16081384","Patent","Citation Family Member"
"WO2016081384","Patent","Citation Family Member"
"EP3083690","Patent","Citation Family Member"
"EP3083692","Patent","Citation Family Member"
"MX2016007965","Patent","Citation Family Member"
"MX2016007887","Patent","Citation Family Member"
"MX2016007972","Patent","Citation Family Member"
"MX2016007885","Patent","Citation Family Member"
"SG11201604875P","Patent","Citation Family Member"
"SG11201604956S","Patent","Citation Family Member"
"SG11201604979W","Patent","Citation Family Member"
"SG11201604995Y","Patent","Citation Family Member"
"SG11201703605Q","Patent","Citation Family Member"
"EP3221360","Patent","Citation Family Member"
"MX2017006320","Patent","Citation Family Member"
"HK1225634","Patent","Citation Family Member"
"HK1226951","Patent","Citation Family Member"
"HK1228409","Patent","Citation Family Member"
"HK1230525","Patent","Citation Family Member"
"HK1241729","Patent","Citation Family Member"
"SG10201807625P","Patent","Citation Family Member"
"SG10201808519V","Patent","Citation Family Member"
"EP3527587","Patent","Citation Family Member"
"EP3647324","Patent","Citation Family Member"
"SG10202002334P","Patent","Citation Family Member"
"EP3680254","Patent","Citation Family Member"
"HK40045341","Patent","Citation Family Member"
"MX2021013520","Patent","Citation Family Member"
"WO15095404","Patent","Citation Family Member"
"WO2015095404","Patent","Citation Family Member"
"WO15095423","Patent","Citation Family Member"
"WO2015095423","Patent","Citation Family Member"
"EP3083686","Patent","Citation Family Member"
"EP3083687","Patent","Citation Family Member"
"BR112016013741","Patent","Citation Family Member"
"BR112016013963","Patent","Citation Family Member"
"BR112016013969","Patent","Citation Family Member"
"BR112016013896","Patent","Citation Family Member"
"BR112017010198","Patent","Citation Family Member"
"JP2019142900","Patent","Citation Family Member"
"JP2020111580","Patent","Citation Family Member"
"JP2022061996","Patent","Citation Family Member"
"JP2025020147","Patent","Citation Family Member"
"US2015190506","Patent","Citation Family Member"
"US2015210772","Patent","Citation Family Member"
"AU2014364587","Patent","Citation Family Member"
"US2016166685","Patent","Citation Family Member"
"CA2931812","Patent","Citation Family Member"
"AU2014364593","Patent","Citation Family Member"
"AU2014364601","Patent","Citation Family Member"
"AU2014364606","Patent","Citation Family Member"
"CA2934028","Patent","Citation Family Member"
"CA2933881","Patent","Citation Family Member"
"CA2933883","Patent","Citation Family Member"
"US2016257752","Patent","Citation Family Member"
"AR102680","Patent","Citation Family Member"
"AU2015350242","Patent","Citation Family Member"
"US2017290913","Patent","Citation Family Member"
"CA2967368","Patent","Citation Family Member"
"US2018171025","Patent","Citation Family Member"
"US2018303936","Patent","Citation Family Member"
"US2020131276","Patent","Citation Family Member"
"AU2020233642","Patent","Citation Family Member"
"US2020392249","Patent","Citation Family Member"
"US2021189004","Patent","Citation Family Member"
"US2022002437","Patent","Citation Family Member"
"US2022306766","Patent","Citation Family Member"
"IL296657","Patent","Citation Family Member"
"US2023203194","Patent","Citation Family Member"
"US2024076404","Patent","Citation Family Member"
"US2024309111","Patent","Citation Family Member"
"US2025084185","Patent","Citation Family Member"
"US2025154282","Patent","Citation Family Member"
"US2026028419","Patent","Citation Family Member"
"CA3253508","Patent","Citation Family Member"
"MX389667","Patent","Citation Family Member"
"RS59659","Patent","Citation Family Member"
"KR102447878","Patent","Citation Family Member"
"KR102630750","Patent","Citation Family Member"
"JP6841656","Patent","Citation Family Member"
"JP7645204","Patent","Citation Family Member"
"US10570213","Patent","Citation Family Member"
"RU2719487","Patent","Citation Family Member"
"DE602014061314","Patent","Citation Family Member"
"DE602014055686","Patent","Citation Family Member"
"LT3083686","Patent","Citation Family Member"
"PT3083686","Patent","Citation Family Member"
"HR20192288","Patent","Citation Family Member"
"SI3083686","Patent","Citation Family Member"
"JP2017501155","Patent","Citation Family Member"
"JP2017501157","Patent","Citation Family Member"
"JP2017501167","Patent","Citation Family Member"
"JP2017507900","Patent","Citation Family Member"
"JP2017537090","Patent","Citation Family Member"
"HU047699","Patent","Citation Family Member"
"DK3083686","Patent","Citation Family Member"
"PL3083686","Patent","Citation Family Member"
"ES2763429","Patent","Citation Family Member"
"TR201918280","Patent","Citation Family Member"
"FI3083686","Patent","Citation Family Member"
"WO15126903","Patent","Citation Family Member"
"WO2015126903","Patent","Citation Family Member"
"EP3107538","Patent","Citation Family Member"
"CA2942039","Patent","Citation Family Member"
"US10738119","Patent","Citation Family Member"
"DE602015053365","Patent","Citation Family Member"
"KR20160119867","Patent","Citation Family Member"
"CN106255510","Patent","Citation Family Member"
"CN114432440","Patent","Citation Family Member"
"KR20220127940","Patent","Citation Family Member"
"KR20240144452","Patent","Citation Family Member"
"WO15134605","Patent","Citation Family Member"
"WO2015134605","Patent","Citation Family Member"
"EP3114144","Patent","Citation Family Member"
"EP3572430","Patent","Citation Family Member"
"JP2020007331","Patent","Citation Family Member"
"JP2022058698","Patent","Citation Family Member"
"JP2024178325","Patent","Citation Family Member"
"US2019263923","Patent","Citation Family Member"
"US2022389110","Patent","Citation Family Member"
"US2025297028","Patent","Citation Family Member"
"JP2017507155","Patent","Citation Family Member"
"KR20170003692","Patent","Citation Family Member"
"CN106714839","Patent","Citation Family Member"
"RU2016148927","Patent","Citation Family Member"
"CN115590953","Patent","Citation Family Member"
"KR20230144099","Patent","Citation Family Member"
"KR20250153873","Patent","Citation Family Member"
"WO15176033","Patent","Citation Family Member"
"WO2015176033","Patent","Citation Family Member"
"EP3142697","Patent","Citation Family Member"
"MX2016014753","Patent","Citation Family Member"
"MX2022004000","Patent","Citation Family Member"
"BR112016026559","Patent","Citation Family Member"
"EP3760229","Patent","Citation Family Member"
"CA2949121","Patent","Citation Family Member"
"US2018319892","Patent","Citation Family Member"
"US2021324106","Patent","Citation Family Member"
"US2025011466","Patent","Citation Family Member"
"KR102870759","Patent","Citation Family Member"
"RU2695332","Patent","Citation Family Member"
"JP2017515859","Patent","Citation Family Member"
"US2004171634","Patent","Citation Family Member"
"US2005038097","Patent","Citation Family Member"
"KR20170060042","Patent","Citation Family Member"
"IN201717013149","Patent","Citation Family Member"
"CN107206071","Patent","Citation Family Member"
"RU2017112379","Patent","Citation Family Member"
"WO16040880","Patent","Citation Family Member"
"WO2016040880","Patent","Citation Family Member"
"WO16040882","Patent","Citation Family Member"
"WO2016040882","Patent","Citation Family Member"
"WO16040892","Patent","Citation Family Member"
"WO2016040892","Patent","Citation Family Member"
"EP3191126","Patent","Citation Family Member"
"EP3191127","Patent","Citation Family Member"
"EP3191097","Patent","Citation Family Member"
"MX2017003227","Patent","Citation Family Member"
"EP3659621","Patent","Citation Family Member"
"EP3925622","Patent","Citation Family Member"
"BR112017004826","Patent","Citation Family Member"
"AU2015314756","Patent","Citation Family Member"
"US2017281624","Patent","Citation Family Member"
"CA2960824","Patent","Citation Family Member"
"US2017304443","Patent","Citation Family Member"
"AU2018250507","Patent","Citation Family Member"
"US2024075136","Patent","Citation Family Member"
"JP6681905","Patent","Citation Family Member"
"US11344620","Patent","Citation Family Member"
"RU2718914","Patent","Citation Family Member"
"DE602015040325","Patent","Citation Family Member"
"DE602015052780","Patent","Citation Family Member"
"JP2017532372","Patent","Citation Family Member"
"ES2771926","Patent","Citation Family Member"
"KR20170066546","Patent","Citation Family Member"
"CN107106687","Patent","Citation Family Member"
"IN201717015513","Patent","Citation Family Member"
"EA201790737","Patent","Citation Family Member"
"MX2017004360","Patent","Citation Family Member"
"HK1242582","Patent","Citation Family Member"
"HK40019395","Patent","Citation Family Member"
"MX2020005894","Patent","Citation Family Member"
"WO16054555","Patent","Citation Family Member"
"WO2016054555","Patent","Citation Family Member"
"EP3200775","Patent","Citation Family Member"
"BR112017006664","Patent","Citation Family Member"
"EP3662903","Patent","Citation Family Member"
"JP2022043060","Patent","Citation Family Member"
"AU2015327868","Patent","Citation Family Member"
"CA2963281","Patent","Citation Family Member"
"US2021000951","Patent","Citation Family Member"
